model,dataset,method,layer,auroc,auroc_std,accuracy,f1,auprc
mistral-7b,fever,probe_linear,23,0.9305816135084428,0.009848665258301241,0.8458333333333333,0.8513449586289967,0.9233196966865626
mistral-7b,fever,probe_linear,24,0.933917031478007,0.005314800410248875,0.8625000000000002,0.8684102095910248,0.9300030736784506
mistral-7b,fever,probe_linear,25,0.9366270585782782,0.0029035622841743153,0.8541666666666666,0.8558232931726907,0.9328553447848149
mistral-7b,fever,probe_linear,26,0.9401709401709403,0.00827051675000098,0.85,0.8495205336668752,0.9355390554421253
mistral-7b,fever,probe_linear,27,0.938503231186158,0.008143433389461975,0.8583333333333334,0.8646247913000317,0.9345868560030172
mistral-7b,fever,probe_linear,28,0.9378778403168647,0.006932786803550482,0.8583333333333334,0.8646247913000317,0.9339220615089258
mistral-7b,fever,probe_linear,29,0.9397540129247446,0.007405595025362323,0.85,0.8491740411825818,0.939061096112991
mistral-7b,fever,probe_linear,30,0.9389201584323535,0.00807914212010674,0.8583333333333334,0.8580837707111248,0.9399907960728568
mistral-7b,fever,probe_linear,31,0.9368355222013758,0.00920550434263904,0.8624999999999999,0.8641849844424371,0.9363759292822443
mistral-7b,fever,probe_linear,32,0.9301646862622471,0.010088433297946946,0.85,0.8484936755366608,0.9238366832747662
mistral-7b,fever,probe_mlp,0,0.5,0.0,0.5041666666666667,0.4517906336088154,0.5125
mistral-7b,fever,probe_mlp,1,0.6810506566604128,0.06281573167220235,0.6124999999999999,0.6681507167325798,0.6907828495164149
mistral-7b,fever,probe_mlp,2,0.7625599332916405,0.04732721128944243,0.7041666666666667,0.6870631755389862,0.7733497111935383
mistral-7b,fever,probe_mlp,3,0.8321867834062956,0.038835827444167186,0.7375000000000002,0.7223794781070323,0.8276194837395972
mistral-7b,fever,probe_mlp,4,0.8069626850114654,0.06796233834949714,0.6791666666666666,0.731537472895312,0.7843455442361474
mistral-7b,fever,probe_mlp,5,0.8392745465916197,0.06185365469207296,0.7708333333333334,0.7681550969355847,0.8440456790253666
mistral-7b,fever,probe_mlp,6,0.856368563685637,0.0419970134217281,0.7291666666666666,0.6844426406926406,0.8542013978731399
mistral-7b,fever,probe_mlp,7,0.8388576193454242,0.03953450918866311,0.7291666666666666,0.7045570388159766,0.8335063336792595
mistral-7b,fever,probe_mlp,8,0.8540754638315614,0.03548905683471492,0.7624999999999998,0.7430371972549333,0.8538166390072647
mistral-7b,fever,probe_mlp,9,0.8830519074421513,0.023638340939025712,0.7583333333333333,0.7375329254295787,0.8915282417243123
mistral-7b,fever,probe_mlp,10,0.8926412341046488,0.026465850641441285,0.7833333333333333,0.7773127008286825,0.9043831086962658
mistral-7b,fever,probe_mlp,11,0.9109860329372524,0.02055455552210712,0.8083333333333332,0.7967138284460983,0.9208093891664553
mistral-7b,fever,probe_mlp,12,0.9437148217636023,0.007710336464001205,0.8416666666666667,0.8402250013361124,0.9508739852409587
